Japanese,English
watashi,I
boku,I
ore,I
anata,you
kimi,you
omae,you
kare,He
kanojo,she
kore,this
sore,that
are,that over there
koko,here
soko,there
asoko,over there
dare,Who
nani,What
itsu,when
doko,where
doushite,Why
naze,Why
hai,yes
iie,No
sou,so
iku,to go
kuru,come
suru,to do
aru,"be, exist"
iru,to exist
miru,to see
kiku,to listen
hanasu,to speak
iu,to say
taberu,eat
nomu,to drink
tsukuru,to make
kau,buy
uru,to sell
katsu,Win
makeru,lose
shiru,to know
wakaru,understand
omou,think
kanjiru,to feel
tasukeru,to help
shinu,to die
ikiru,to live
akeru,To open
shimeru,to close
hashiru,to run
aruku,to walk
tatakau,to fight
mamoru,protect
kougeki,attack
nigeru,to escape
yobu,call
matsu,to wait
sawaru,to touch
kowasu,to break
naosu,fix
miseru,to show
kaeru,to return
hajimeru,to start
owaru,to finish
noru,to ride
oriru,to get off
neru,To sleep
okiru,get up
hataraku,work
benkyou,study
asobu,play
utau,sing
odoru,dance
naku,cry
warau,to laugh
okoru,to get angry
odoroku,be surprised
shinjiru,believe
kimeru,to decide
atsumeru,to collect
mitsukeru,To find
modoru,return
susumu,to advance
ii,Good
warui,bad
tsuyoi,strong
yowai,weak
hayai,"fast, early"
osoi,Slow
ookii,big
chiisai,small
takai,high
yasui,cheap
atarashii,new
furui,old
atsui,hot
samui,Cold
tsumetai,cold
omoshiroi,interesting
tanoshii,fun
kanashii,sad
ureshii,Happy
kowai,Scary
abunai,Dangerous
kantan,easy
muzukashii,difficult
isogashii,busy
shizuka,quiet
nigiyaka,Lively
nandato,What did you say?
kuso,shit
chikushou,Damn it
yamero,Stop it
ikuzo,Let's go
mate,Wait
mada,"Still, not yet"
owari,end
muri,impossible
dame,no good
saikou,the best
saiaku,Worst
hontou,Really
uso,lie
yabai,dangerous
daijoubu,All right
ganbare,Go for it!
ike,Go
koi,love or come (imperative)
wakaranai,I don't know
mou ii,That's enough
fuzakeru na,Don't mess with me!
sugoi,amazing
ikou,Let's go
kaeru,to return
zettai,absolutely
yakusoku,promise
hito,person
otoko,man
onna,woman
kodomo,child
tomodachi,friend
kazoku,family
gakkou,school
sensei,Teacher
gakusei,student
sekai,world
kuni,Country
machi,Town
ie,house
heya,room
jikan,time
kyou,today
ashita,tomorrow
kinou,Yesterday
yume,dream
kokoro,Heart
inochi,Life
chikara,strength
tamashii,soul
buki,weapon
ken,sword
mahou,magic
teki,enemy
mikata,ally
sensou,war
heiwa,peace
unmei,destiny
kibou,Hope
zetsubou,Despair
hikari,light
yami,Darkness
hi,fire
mizu,water
kaze,wind
tsuchi,earth
kaminari,thunder
sora,Sky
umi,sea
yama,Mountain
hoshi,star
onegaishimasu,please
arigatou,Thank you
sumimasen,Excuse me
gomen,Sorry
ja ne,See you later
sayonara,Goodbye
yoshi,Alright
hajimaru,to begin
tsuyoku,strongly
yowaku,weakly
kore,this
sore,that one
are,that over there
dakedo,but
dakara,so
demo,but
tada,just
mada,still
yappari,as expected
sugu,immediately
zenbu,all
nani mo,nothing
doko ni,where to
dare ka,someone
kono,this
sono,that
ano,that
hajimete,for the first time
saisho,first
saigo,last
ikiteru,alive
shinu,to die
koko,here
soko,there
asoko,Over there
tokoro,place
mono,thing
koto,thing
toki,time
hito,person
basho,place
kaze no oto,sound of the wind
tsuki,Moon
taiyou,the sun
mirai,future
kako,the past
ima,now
dake,only
sorekara,and then; after that
mata,again
yoku,often
toshokan,library
gomi,trash
heiwa ni,peacefully
saikou da,It is the best
ganbatte,Do Your Best
